,ZipCode,2017.0,2018.0,2019.0,2020.0,2021.0,2017.0->2018.0,2018.0->2019.0,2019.0->2020.0,2020.0->2021.0,2017.0->2018.0PERCENT,2018.0->2019.0PERCENT,2019.0->2020.0PERCENT,2020.0->2021.0PERCENT,2018.0->2019.0PERCENT_norm,2017.0_norm,2019.0->2020.0_norm,2020.0->2021.0PERCENT_norm,2019.0_norm,2021.0_norm,2020.0->2021.0_norm,2017.0->2018.0_norm,2019.0->2020.0PERCENT_norm,2020.0_norm,2018.0->2019.0_norm,2018.0_norm,2017.0->2018.0PERCENT_norm
11,10018,81410028.0,81116784.0,82233996.0,25746633.607,29507558.0,-293244.0,1117212.0,-56487362.393,3760924.392999999,-0.3602062389660399,1.3772883303657601,-68.69100997232337,14.607441308278368,0.5312549521761001,0.5437371134183581,0.3843348551854393,0.3066212383075301,0.5574068118835098,0.46389838711208475,0.480760926334656,0.6682443261534479,0.1380626453641509,0.4617928133578978,0.7156386307247158,0.5551946566341607,0.5500920048424383
12,10025,6324624.0,5181462.0,6100517.0,2367730.975,3122904.0,-1143162.0,919055.0,-3732786.025,755173.0249999999,-18.07478199494547,17.73736833349352,-61.18802758848143,31.894376218142767,0.9833628515761627,0.03867369236363418,0.962437522796227,0.7778344248355292,0.0380672424717161,0.04577233680124987,0.09241133256434807,0.49469742650039134,0.44139203340254346,0.03970145136145514,0.6824233695763314,0.03199813241646531,0.0
13,10026,9827511.0,8730240.0,10239569.0,4019159.97,4958529.0,-1097271.0,1509329.0,-6220409.029999999,939369.0299999998,-11.165299128131224,17.28851669599003,-60.748738838519465,23.372272738872837,0.9709589164526677,0.06223592946351206,0.9351773001916761,0.5455360123450276,0.06630151616690641,0.0748620732481188,0.11620985578134342,0.5040680255134472,0.4591515296776611,0.0695169617261662,0.7813656479672106,0.05644931357851035,0.21456067223892597
14,10034,4495119.0,4301357.0,4318028.0,2008472.055,2250318.0,-193762.0,16671.0,-2309555.9450000003,241845.94500000007,-4.310497675367437,0.38757536284479527,-53.48635870355635,12.041290014363684,0.5039044104507931,0.02636749162538254,0.9780337641560761,0.23667220832486488,0.025908109828621476,0.03194418738771084,0.026088360840328097,0.6885578065966028,0.7527538879591608,0.033215257837358216,0.5311649219003789,0.025934183982209452,0.42742331856422067
15,10035,43218370.0,42047037.0,42285912.0,14433731.958,16753485.0,-1171333.0,238875.0,-27852180.042,2319753.0419999994,-2.710266490846369,0.5681137531759967,-65.86633402160038,16.07174810194712,0.5088935567384704,0.2868401878157201,0.6981289645184044,0.346535813904475,0.28490355817844576,0.26178051325760626,0.29455846305950467,0.4889451189717518,0.25225819903954644,0.25754549943041266,0.5684109636158651,0.2860029906995021,0.4771154135164497
16,10036,81410028.0,81116784.0,82233996.0,25746633.607,29507558.0,-293244.0,1117212.0,-56487362.393,3760924.392999999,-0.3602062389660399,1.3772883303657601,-68.69100997232337,14.607441308278368,0.5312549521761001,0.5437371134183581,0.3843348551854393,0.3066212383075301,0.5574068118835098,0.46389838711208475,0.480760926334656,0.6682443261534479,0.1380626453641509,0.4617928133578978,0.7156386307247158,0.5551946566341607,0.5500920048424383
17,10037,106114090.0,104510399.0,105929442.0,34521764.914,39472366.0,-1603691.0,1419043.0,-71407677.086,4950601.086000003,-1.511289405582237,1.357800767749437,-67.41060439646232,14.340521402462624,0.53071641685126,0.7099094638750194,0.22083295033746878,0.29934544418769343,0.7190437537952332,0.6218138864453643,0.6344697345092897,0.4006608486772102,0.18982667997034766,0.6202222821559547,0.7662318244432219,0.7163773280777207,0.514347335842925
18,10038,28537251.0,29464554.0,29483966.0,9598649.098,10702847.0,927303.0,19412.0,-19885316.902000003,1104197.9020000007,3.249447537886533,0.06588255162457236,-67.44451171189114,11.503680265070575,0.49501448686209,0.18808735714504135,0.7854325721068025,0.22201785783452038,0.1975759171642602,0.16589411774904098,0.13750610342321373,0.9174708959294017,0.1884558803718842,0.17025112373334145,0.5316243708767345,0.19930932564033185,0.6621828451904308
19,10040,4495119.0,4301357.0,4318028.0,2008472.055,2250318.0,-193762.0,16671.0,-2309555.9450000003,241845.94500000007,-4.310497675367437,0.38757536284479527,-53.48635870355635,12.041290014363684,0.5039044104507931,0.02636749162538254,0.9780337641560761,0.23667220832486488,0.025908109828621476,0.03194418738771084,0.026088360840328097,0.6885578065966028,0.7527538879591608,0.033215257837358216,0.5311649219003789,0.025934183982209452,0.42742331856422067
20,10044,2361627.0,2269432.0,2380764.0,893252.993,1230617.0,-92195.0,111332.0,-1487511.007,337364.007,-3.903876437727041,4.905720902851463,-62.48040574370244,37.76802424887033,0.6287625583868454,0.012016516456987831,0.9870420133786404,0.9379403325360142,0.012693189601516537,0.015784659518669673,0.03842950155154712,0.7092970284474895,0.38914397324694416,0.013080680085207061,0.5470320870046508,0.011934163050303209,0.44005015732718783
