,ZIP CODE,PPSQ17,Sale Price17,PPSQ18,Sale Price18,PPSQ19,Sale Price19,PPSQ20,Sale Price20,PPSQ21,Sale Price21
74,11001,420.5082711491635,26767454,502.29294874215026,39912700,445.66149601393533,35050831,433.55497196923136,23278000,487.5451846692207,29397512
75,11004,466.01810226961993,59647987,464.3400278551532,50009421,515.643368104002,46565690,519.2045465231088,44171846,535.543209961239,78063456
76,11040,470.20923969339134,11348500,518.0062329267823,13463500,490.34491096944384,15614053,524.6466338603287,10021800,567.7030061470233,20225555
77,11101,428.58998022625644,397947511,571.6932212013595,1228101659,665.9156840980764,1405046134,775.6037874177821,1599570349,543.7497337087619,916318895
78,11102,540.7968636602963,152013672,556.8274500405154,146369334,546.5867537530775,140758114,734.1029240599539,92714997,455.31391688936816,145670858
79,11103,450.79459505167796,117282779,477.6312073825067,124892441,534.543462675561,156577402,441.3336443317746,118730225,542.7915700599326,198522760
80,11104,395.4889348511402,75147248,500.5032518281956,81651600,410.2887636255859,74752151,382.30255325750585,46820976,556.1049191774038,68495999
81,11105,224.13124905684782,166348420,604.560846151683,171990306,225.04667870861104,143777372,601.4057055381033,188573766,563.9384083998675,192332886
82,11106,532.7820660368425,146288103,625.9406642060728,162298277,632.1529978660426,229582165,525.6789416700501,77684834,490.66451086407545,184585045
83,11201,538.1666264015939,1675154487,894.0753890404685,1245542683,514.8413438361308,676010882,20.380121769215116,692175456,24.420572628512684,1766693970
84,11203,259.9351718067773,262837348,249.96689265437107,283532447,319.5795579502969,249938059,300.3260878275226,217377524,286.8161069666376,219378183
85,11204,544.6218935051963,366412896,507.70655193541654,377025424,518.1783865488444,307505709,582.7360535764972,293584172,494.10431643543916,494935894
86,11205,625.6091041072057,215029982,607.507541385653,267528096,446.08298751288436,332371081,646.4351866510863,257239186,610.8490878369953,391891454
87,11206,398.8204018428658,260128613,464.90845444183424,421337699,643.8914385180666,445373913,534.6792001083421,209248309,563.7799080300697,783787688
88,11207,228.62417860173437,353485902,284.0918635396189,363593267,227.85481629590336,301531899,282.7955600428634,228276818,442.2555217165048,610194980
89,11208,229.5807719678742,298086756,240.0773028858465,302824627,294.7007397553485,363757080,301.7259610436004,199331032,323.6141822062963,324125169
90,11209,419.0711115416454,285523206,451.5458573381506,517919486,501.83995203654206,250274108,516.5525433370258,310560687,506.0615765769637,471029970
